state,month,enroll,year,eligible_pop,takeup,elig2018,takeup_static,ncsl_year,dem_house_seats,total_house_seats,dem_share_house,dem_senate_seats,total_senate_seats,dem_share_sen,dem_margin,dem_control,sen_margin,gov_dem,mood,expanded,expansion_date,post_expansion,covid,year_f,restrictive_waiver
Indiana,2015-01-01,1220212.0,2015,1385860.0,88.04727750277806,1293314,94.34769901199554,2015,30.0,100.0,0.3,10.0,50.0,0.2,-0.2,0.0,-0.3,0.0,0.40741666666666665,1,2015-02-01,0.0,0.0,2015,1.0
Iowa,2015-01-01,569676.0,2015,567516.0,100.380606009346,533922,106.69648375605425,2015,43.0,100.0,0.43,26.0,50.0,0.52,-0.07,0.0,0.020000000000000018,0.0,0.46575,1,2014-01-01,1.0,0.0,2015,0.0
Kansas,2015-01-01,404608.0,2015,560352.0,72.20604191650962,526814,76.80281845205329,2015,28.0,125.0,0.224,8.0,40.0,0.2,-0.276,0.0,-0.3,0.0,0.369625,0,,0.0,0.0,2015,0.0
Kentucky,2015-01-01,1099327.0,2015,1119779.0,98.17356817729213,1057085,103.9960835694386,2015,54.0,100.0,0.54,11.0,38.0,0.2894736842105263,0.040000000000000036,1.0,-0.21052631578947367,1.0,0.350375,1,2014-01-01,1.0,0.0,2015,0.0
Louisiana,2015-01-01,1053090.0,2015,1255052.0,83.90807711552988,1237143,85.12273843848286,2015,43.0,105.0,0.4095238095238095,13.0,39.0,0.3333333333333333,-0.09047619047619049,0.0,-0.16666666666666669,0.0,0.3945416666666667,1,2016-07-01,0.0,0.0,2015,0.0
Maine,2015-01-01,286917.0,2015,265228.0,108.17749257242826,231999,123.67165375712825,2015,78.0,151.0,0.5165562913907285,15.0,35.0,0.42857142857142855,0.01655629139072845,1.0,-0.07142857142857145,0.0,0.5173333333333333,1,2019-01-01,0.0,0.0,2015,0.0
Maryland,2015-01-01,1166594.0,2015,844483.0,138.1429821559463,793697,146.98228669126883,2015,90.0,141.0,0.6382978723404256,32.0,47.0,0.6808510638297872,0.13829787234042556,1.0,0.18085106382978722,0.0,0.60825,1,2014-01-01,1.0,0.0,2015,0.0
Massachusetts,2015-01-01,1639502.0,2015,1090664.0,150.32145555368106,972871,168.522034267647,2015,123.0,160.0,0.76875,34.0,40.0,0.85,0.26875000000000004,1.0,0.35,0.0,0.6036666666666667,1,2014-01-01,1.0,0.0,2015,0.0
Michigan,2015-01-01,2275118.0,2015,2195668.0,103.61848876970473,1999842,113.76488742610667,2015,47.0,110.0,0.42727272727272725,11.0,38.0,0.2894736842105263,-0.07272727272727275,0.0,-0.21052631578947367,0.0,0.5045416666666667,1,2014-04-01,1.0,0.0,2015,0.0
Minnesota,2015-01-01,1041975.0,2015,856676.0,121.62999780547139,814317,127.9569258654799,2015,62.0,134.0,0.4626865671641791,39.0,67.0,0.582089552238806,-0.03731343283582089,0.0,0.08208955223880599,1.0,0.4929583333333334,1,2014-01-01,1.0,0.0,2015,0.0
Mississippi,2015-01-01,718683.0,2015,915481.0,78.50332229724046,831252,86.45789724415701,2015,56.0,122.0,0.45901639344262296,20.0,52.0,0.38461538461538464,-0.04098360655737704,0.0,-0.11538461538461536,0.0,0.41975,0,,0.0,0.0,2015,0.0
Missouri,2015-01-01,863651.0,2015,1285226.0,67.19837600546519,1199818,71.98183391147658,2015,44.0,163.0,0.26993865030674846,9.0,34.0,0.2647058823529412,-0.23006134969325154,0.0,-0.23529411764705882,1.0,0.40958333333333335,1,2021-07-01,0.0,0.0,2015,0.0
Montana,2015-01-01,170740.0,2015,216457.0,78.8794079193558,210360,81.16562084046397,2015,41.0,100.0,0.41,21.0,50.0,0.42,-0.09000000000000002,0.0,-0.08000000000000002,1.0,0.38549999999999995,1,2016-01-01,0.0,0.0,2015,0.0
Nevada,2015-01-01,541334.0,2015,639200.0,84.68929912390489,595228,90.94565443829927,2015,17.0,42.0,0.40476190476190477,10.0,21.0,0.47619047619047616,-0.09523809523809523,0.0,-0.023809523809523836,0.0,0.498,1,2014-01-01,1.0,0.0,2015,0.0
New Hampshire,2015-01-01,169747.0,2015,158072.0,107.38587479123439,155659,109.05055281095215,2015,160.0,400.0,0.4,10.0,24.0,0.4166666666666667,-0.09999999999999998,0.0,-0.08333333333333331,1.0,0.49824999999999997,1,2014-08-15,1.0,0.0,2015,0.0
New Jersey,2015-01-01,1667815.0,2015,1422722.0,117.22704787020936,1255020,132.89150770505648,2015,48.0,80.0,0.6,24.0,40.0,0.6,0.09999999999999998,1.0,0.09999999999999998,0.0,0.5642083333333333,1,2014-01-01,1.0,0.0,2015,0.0
New Mexico,2015-01-01,687829.0,2015,593395.0,115.91418869387171,585602,117.4567368280846,2015,33.0,70.0,0.4714285714285714,25.0,42.0,0.5952380952380952,-0.02857142857142858,0.0,0.09523809523809523,0.0,0.504,1,2014-01-01,1.0,0.0,2015,0.0
New York,2015-01-01,6338780.0,2015,4242651.0,149.4061142431937,3765183,168.35250770015693,2015,106.0,150.0,0.7066666666666667,31.0,63.0,0.49206349206349204,0.20666666666666667,1.0,-0.007936507936507964,1.0,0.609625,1,2014-01-01,1.0,0.0,2015,0.0
North Carolina,2015-01-01,1844304.0,2015,2416558.0,76.31945933017126,2153017,85.66137657064482,2015,45.0,120.0,0.375,15.0,50.0,0.3,-0.125,0.0,-0.2,0.0,0.47179166666666666,1,2023-12-01,0.0,0.0,2015,0.0
North Dakota,2015-01-01,86220.0,2015,118208.0,72.9392257715214,122160,70.57956777996071,2015,23.0,94.0,0.24468085106382978,15.0,47.0,0.3191489361702128,-0.25531914893617025,0.0,-0.18085106382978722,0.0,0.3237083333333334,1,2014-01-01,1.0,0.0,2015,0.0
Ohio,2015-01-01,2928588.0,2015,2446261.0,119.71690674053177,2296371,127.5311349951728,2015,34.0,99.0,0.3434343434343434,10.0,33.0,0.30303030303030304,-0.15656565656565657,0.0,-0.19696969696969696,0.0,0.4685416666666667,1,2014-01-01,1.0,0.0,2015,0.0
Oklahoma,2015-01-01,808807.0,2015,927536.0,87.19952648738162,885167,91.37337926063668,2015,29.0,101.0,0.2871287128712871,8.0,48.0,0.16666666666666666,-0.2128712871287129,0.0,-0.33333333333333337,0.0,0.309625,1,2021-07-01,0.0,0.0,2015,0.0
Oregon,2015-01-01,1053113.0,2015,881611.0,119.45325092359329,797451,132.05990085911233,2015,35.0,60.0,0.5833333333333334,18.0,30.0,0.6,0.08333333333333337,1.0,0.09999999999999998,1.0,0.51925,1,2014-01-01,1.0,0.0,2015,0.0
Pennsylvania,2015-01-01,2493851.0,2015,2377328.0,104.90142714846246,2259652,110.36438354224455,2015,83.0,203.0,0.4088669950738916,20.0,50.0,0.4,-0.09113300492610837,0.0,-0.09999999999999998,1.0,0.496625,1,2015-01-01,1.0,0.0,2015,0.0
Rhode Island,2015-01-01,267466.0,2015,202375.0,132.1635577516986,188712,141.73237525965493,2015,63.0,75.0,0.84,32.0,38.0,0.8421052631578947,0.33999999999999997,1.0,0.3421052631578947,1.0,0.5829583333333334,1,2014-01-01,1.0,0.0,2015,0.0
South Carolina,2015-01-01,983275.0,2015,1166007.0,84.32839597017858,1124024,87.47811434631288,2015,46.0,124.0,0.3709677419354839,18.0,46.0,0.391304347826087,-0.12903225806451613,0.0,-0.10869565217391303,0.0,0.4209583333333333,0,,0.0,0.0,2015,0.0
South Dakota,2015-01-01,117687.0,2015,171871.0,68.47402994106045,166237,70.79470875918116,2015,12.0,70.0,0.17142857142857143,8.0,35.0,0.22857142857142856,-0.32857142857142857,0.0,-0.27142857142857146,0.0,0.355125,1,2023-07-01,0.0,0.0,2015,0.0
Tennessee,2015-01-01,1440143.0,2015,1602238.0,89.88321335531924,1514870,95.06710146745266,2015,26.0,99.0,0.26262626262626265,5.0,33.0,0.15151515151515152,-0.23737373737373735,0.0,-0.3484848484848485,0.0,0.36654166666666665,0,,0.0,0.0,2015,0.0
Texas,2015-01-01,4699323.0,2015,6430747.0,73.07584950861852,6299251,74.60129783683807,2015,50.0,150.0,0.3333333333333333,11.0,31.0,0.3548387096774194,-0.16666666666666669,0.0,-0.14516129032258063,0.0,0.425125,0,,0.0,0.0,2015,0.0
Utah,2015-01-01,301688.0,2015,514829.0,58.59965153478145,456764,66.04898809888695,2015,12.0,75.0,0.16,5.0,29.0,0.1724137931034483,-0.33999999999999997,0.0,-0.3275862068965517,0.0,0.2625416666666667,1,2020-01-01,0.0,0.0,2015,0.0
Vermont,2015-01-01,179862.0,2015,103628.0,173.5650596363917,96287,186.797802403232,2015,85.0,150.0,0.5666666666666667,21.0,30.0,0.7,0.06666666666666665,1.0,0.19999999999999996,1.0,0.6100416666666667,1,2014-01-01,1.0,0.0,2015,0.0
Virginia,2015-01-01,959186.0,2015,1360406.0,70.50733384004481,1298806,73.85136810270356,2015,32.0,100.0,0.32,19.0,40.0,0.475,-0.18,0.0,-0.025000000000000022,1.0,0.50325,1,2019-01-01,0.0,0.0,2015,0.0
Washington,2015-01-01,1645727.0,2015,1276757.0,128.8989995747037,1136840,144.7632912283171,2015,51.0,98.0,0.5204081632653061,24.0,49.0,0.4897959183673469,0.020408163265306145,1.0,-0.010204081632653073,1.0,0.5535416666666667,1,2014-01-01,1.0,0.0,2015,0.0
West Virginia,2015-01-01,524569.0,2015,469401.0,111.75285097390078,462592,113.39776736303264,2015,36.0,100.0,0.36,16.0,34.0,0.47058823529411764,-0.14,0.0,-0.02941176470588236,1.0,0.306625,1,2014-01-01,1.0,0.0,2015,0.0
Wisconsin,2015-01-01,1042496.0,2015,1021129.0,102.09248782475085,951649,109.54627178718204,2015,36.0,99.0,0.36363636363636365,14.0,33.0,0.42424242424242425,-0.13636363636363635,0.0,-0.07575757575757575,0.0,0.494875,0,,0.0,0.0,2015,0.0
Wyoming,2015-01-01,68577.0,2015,97303.0,70.47778588532728,93266,73.52840263332833,2015,9.0,60.0,0.15,4.0,30.0,0.13333333333333333,-0.35,0.0,-0.3666666666666667,0.0,0.24758333333333335,0,,0.0,0.0,2015,0.0
Alabama,2015-02-01,835370.0,2015,1249458.25,66.85857650705816,1174119,71.14866551005477,2015,33.0,105.0,0.3142857142857143,8.0,35.0,0.22857142857142856,-0.18571428571428572,0.0,-0.27142857142857146,0.0,0.35950000000000004,0,,0.0,0.0,2015,0.0
Alaska,2015-02-01,125881.0,2015,116480.0,108.07091346153845,114607,109.83709546537297,2015,16.0,40.0,0.4,6.0,20.0,0.3,-0.09999999999999998,0.0,-0.2,0.0,0.3933125,1,2015-09-01,0.0,0.0,2015,0.0
Arizona,2015-02-01,1497026.0,2015,1674561.9166666667,89.39806794244643,1492698,100.28994478454449,2015,24.0,60.0,0.4,13.0,30.0,0.43333333333333335,-0.09999999999999998,0.0,-0.06666666666666665,0.0,0.4488125,1,2014-01-01,1.0,0.0,2015,0.0
Arkansas,2015-02-01,831643.0,2015,814276.5,102.13275220395037,761746,109.17589327676154,2015,36.0,100.0,0.36,11.0,35.0,0.3142857142857143,-0.14,0.0,-0.18571428571428572,0.0,0.349125,1,2014-01-01,1.0,0.0,2015,0.0
California,2015-02-01,12189535.0,2015,8751842.0,139.27965107231142,7534254,161.78821420143254,2015,52.0,80.0,0.65,25.0,40.0,0.625,0.15000000000000002,1.0,0.125,1.0,0.61,1,2014-01-01,1.0,0.0,2015,0.0
Colorado,2015-02-01,1227656.0,2015,923013.9166666666,133.00514519147285,820836,149.56166639864722,2015,34.0,65.0,0.5230769230769231,17.0,35.0,0.4857142857142857,0.023076923076923106,1.0,-0.01428571428571429,1.0,0.495875,1,2014-01-01,1.0,0.0,2015,0.0
Connecticut,2015-02-01,722571.0,2015,533909.5833333334,135.33583635806,530145,136.29686217921514,2015,86.0,151.0,0.5695364238410596,20.0,36.0,0.5555555555555556,0.06953642384105962,1.0,0.05555555555555558,1.0,0.56075,1,2014-01-01,1.0,0.0,2015,0.0
Delaware,2015-02-01,237445.0,2015,167850.58333333334,141.4621238035614,165961,143.07277010864,2015,25.0,41.0,0.6097560975609756,12.0,21.0,0.5714285714285714,0.1097560975609756,1.0,0.0714285714285714,1.0,0.5555,1,2014-01-01,1.0,0.0,2015,0.0
Florida,2015-02-01,3436875.0,2015,4746314.583333333,72.41144554700556,4384883,78.3800844857206,2015,38.0,120.0,0.31666666666666665,14.0,40.0,0.35,-0.18333333333333335,0.0,-0.15000000000000002,0.0,0.487625,0,,0.0,0.0,2015,0.0
Georgia,2015-02-01,1761990.0,2015,2463424.0833333335,71.52605237242781,2209726,79.73794036002654,2015,59.0,180.0,0.3277777777777778,18.0,56.0,0.32142857142857145,-0.17222222222222222,0.0,-0.17857142857142855,0.0,0.45325000000000004,0,,0.0,0.0,2015,0.0
Hawaii,2015-02-01,319394.0,2015,206075.75,154.9886388864289,185180,172.47758937250245,2015,44.0,51.0,0.8627450980392157,24.0,25.0,0.96,0.36274509803921573,1.0,0.45999999999999996,1.0,0.6616875,1,2014-01-01,1.0,0.0,2015,0.0
Idaho,2015-02-01,275757.0,2015,370889.25,74.35022719046184,341618,80.72086365472545,2015,14.0,70.0,0.2,7.0,35.0,0.2,-0.3,0.0,-0.3,0.0,0.2965625,1,2020-01-01,0.0,0.0,2015,0.0
Illinois,2015-02-01,3199540.0,2015,2513875.5,127.2751972004978,2253479,141.98224168053042,2015,71.0,118.0,0.6016949152542372,39.0,59.0,0.6610169491525424,0.10169491525423724,1.0,0.1610169491525424,0.0,0.5640625,1,2014-01-01,1.0,0.0,2015,0.0
Indiana,2015-02-01,1233668.0,2015,1382735.25,89.21939322802395,1293314,95.38812693591811,2015,30.0,100.0,0.3,10.0,50.0,0.2,-0.2,0.0,-0.3,0.0,0.406125,1,2015-02-01,1.0,0.0,2015,1.0
Iowa,2015-02-01,576882.0,2015,565071.5,102.09008948425111,533922,108.04611909604773,2015,43.0,100.0,0.43,26.0,50.0,0.52,-0.07,0.0,0.020000000000000018,0.0,0.463625,1,2014-01-01,1.0,0.0,2015,0.0
Kansas,2015-02-01,405431.0,2015,558795.0,72.55451462522035,526814,76.95904057219435,2015,28.0,125.0,0.224,8.0,40.0,0.2,-0.276,0.0,-0.3,0.0,0.3691875,0,,0.0,0.0,2015,0.0
Kentucky,2015-02-01,1121730.0,2015,1120044.9166666667,100.15044783546254,1057085,106.11540226188055,2015,54.0,100.0,0.54,11.0,38.0,0.2894736842105263,0.040000000000000036,1.0,-0.21052631578947367,1.0,0.3493125,1,2014-01-01,1.0,0.0,2015,0.0
Louisiana,2015-02-01,1061494.0,2015,1257045.1666666667,84.44358469750026,1237143,85.80204551939428,2015,43.0,105.0,0.4095238095238095,13.0,39.0,0.3333333333333333,-0.09047619047619049,0.0,-0.16666666666666669,0.0,0.3940625,1,2016-07-01,0.0,0.0,2015,0.0
Maine,2015-02-01,286625.0,2015,263648.5833333333,108.71478859327584,231999,123.54579114565149,2015,78.0,151.0,0.5165562913907285,15.0,35.0,0.42857142857142855,0.01655629139072845,1.0,-0.07142857142857145,0.0,0.5155,1,2019-01-01,0.0,0.0,2015,0.0
Maryland,2015-02-01,1185960.0,2015,843018.0833333334,140.68025626575627,793697,149.4222606359858,2015,90.0,141.0,0.6382978723404256,32.0,47.0,0.6808510638297872,0.13829787234042556,1.0,0.18085106382978722,0.0,0.6078749999999999,1,2014-01-01,1.0,0.0,2015,0.0
Massachusetts,2015-02-01,1680800.0,2015,1081275.8333333333,155.44599705132288,972871,172.7669958298685,2015,123.0,160.0,0.76875,34.0,40.0,0.85,0.26875000000000004,1.0,0.35,0.0,0.6034999999999999,1,2014-01-01,1.0,0.0,2015,0.0
Michigan,2015-02-01,2321251.0,2015,2188769.9166666665,106.05276426382414,1999842,116.0717196658536,2015,47.0,110.0,0.42727272727272725,11.0,38.0,0.2894736842105263,-0.07272727272727275,0.0,-0.21052631578947367,0.0,0.5030625,1,2014-04-01,1.0,0.0,2015,0.0
Minnesota,2015-02-01,1049142.0,2015,855380.0,122.65215459795647,814317,128.83704994492317,2015,62.0,134.0,0.4626865671641791,39.0,67.0,0.582089552238806,-0.03731343283582089,0.0,0.08208955223880599,1.0,0.49168750000000006,1,2014-01-01,1.0,0.0,2015,0.0
Mississippi,2015-02-01,720330.0,2015,910473.9166666666,79.11594026078177,831252,86.65603210578742,2015,56.0,122.0,0.45901639344262296,20.0,52.0,0.38461538461538464,-0.04098360655737704,0.0,-0.11538461538461536,0.0,0.419125,0,,0.0,0.0,2015,0.0
Missouri,2015-02-01,875879.0,2015,1282294.8333333333,68.3055859878299,1199818,73.0009884832533,2015,44.0,163.0,0.26993865030674846,9.0,34.0,0.2647058823529412,-0.23006134969325154,0.0,-0.23529411764705882,1.0,0.408375,1,2021-07-01,0.0,0.0,2015,0.0
Montana,2015-02-01,172936.0,2015,216635.0,79.82828259514852,210360,82.20954554097737,2015,41.0,100.0,0.41,21.0,50.0,0.42,-0.09000000000000002,0.0,-0.08000000000000002,1.0,0.38425,1,2016-01-01,0.0,0.0,2015,0.0
Nevada,2015-02-01,556008.0,2015,637890.4166666666,87.16356061679875,595228,93.4109282493431,2015,17.0,42.0,0.40476190476190477,10.0,21.0,0.47619047619047616,-0.09523809523809523,0.0,-0.023809523809523836,0.0,0.497,1,2014-01-01,1.0,0.0,2015,0.0
New Hampshire,2015-02-01,173286.0,2015,157384.16666666666,110.10383297769259,155659,111.32411232244843,2015,160.0,400.0,0.4,10.0,24.0,0.4166666666666667,-0.09999999999999998,0.0,-0.08333333333333331,1.0,0.497375,1,2014-08-15,1.0,0.0,2015,0.0
New Jersey,2015-02-01,1692754.0,2015,1418422.6666666667,119.34059147390951,1255020,134.87864735223343,2015,48.0,80.0,0.6,24.0,40.0,0.6,0.09999999999999998,1.0,0.09999999999999998,0.0,0.5635625,1,2014-01-01,1.0,0.0,2015,0.0
New Mexico,2015-02-01,691895.0,2015,593392.6666666666,116.59985686824577,585602,118.15106505783793,2015,33.0,70.0,0.4714285714285714,25.0,42.0,0.5952380952380952,-0.02857142857142858,0.0,0.09523809523809523,0.0,0.503,1,2014-01-01,1.0,0.0,2015,0.0
New York,2015-02-01,6400003.0,2015,4226042.583333333,151.44199032069227,3765183,169.97853756377845,2015,106.0,150.0,0.7066666666666667,31.0,63.0,0.49206349206349204,0.20666666666666667,1.0,-0.007936507936507964,1.0,0.6086874999999999,1,2014-01-01,1.0,0.0,2015,0.0
North Carolina,2015-02-01,1847000.0,2015,2407180.6666666665,76.72876513077125,2153017,85.78659620430308,2015,45.0,120.0,0.375,15.0,50.0,0.3,-0.125,0.0,-0.2,0.0,0.4714375,1,2023-12-01,0.0,0.0,2015,0.0
North Dakota,2015-02-01,87956.0,2015,118239.08333333333,74.38826276421572,122160,72.00065487884741,2015,23.0,94.0,0.24468085106382978,15.0,47.0,0.3191489361702128,-0.25531914893617025,0.0,-0.18085106382978722,0.0,0.3213125,1,2014-01-01,1.0,0.0,2015,0.0
Ohio,2015-02-01,2953995.0,2015,2441211.9166666665,121.00526709018811,2296371,128.6375328725193,2015,34.0,99.0,0.3434343434343434,10.0,33.0,0.30303030303030304,-0.15656565656565657,0.0,-0.19696969696969696,0.0,0.4670625,1,2014-01-01,1.0,0.0,2015,0.0
Oklahoma,2015-02-01,811378.0,2015,929025.0833333334,87.33650087129868,885167,91.66383292644213,2015,29.0,101.0,0.2871287128712871,8.0,48.0,0.16666666666666666,-0.2128712871287129,0.0,-0.33333333333333337,0.0,0.3086875,1,2021-07-01,0.0,0.0,2015,0.0
Oregon,2015-02-01,1083050.0,2015,876758.25,123.52892031526363,797451,135.81398731708907,2015,35.0,60.0,0.5833333333333334,18.0,30.0,0.6,0.08333333333333337,1.0,0.09999999999999998,1.0,0.518375,1,2014-01-01,1.0,0.0,2015,0.0
Pennsylvania,2015-02-01,2474050.0,2015,2374360.75,104.19857218411312,2259652,109.48809816732843,2015,83.0,203.0,0.4088669950738916,20.0,50.0,0.4,-0.09113300492610837,0.0,-0.09999999999999998,1.0,0.4956875,1,2015-01-01,1.0,0.0,2015,0.0
Rhode Island,2015-02-01,272257.0,2015,201250.75,135.28247720815946,188712,144.27116452583832,2015,63.0,75.0,0.84,32.0,38.0,0.8421052631578947,0.33999999999999997,1.0,0.3421052631578947,1.0,0.5811875,1,2014-01-01,1.0,0.0,2015,0.0
South Carolina,2015-02-01,979282.0,2015,1160679.75,84.37142114351526,1124024,87.1228728212209,2015,46.0,124.0,0.3709677419354839,18.0,46.0,0.391304347826087,-0.12903225806451613,0.0,-0.10869565217391303,0.0,0.4201875,0,,0.0,0.0,2015,0.0
South Dakota,2015-02-01,118470.0,2015,171296.25,69.16088355699556,166237,71.26572303398162,2015,12.0,70.0,0.17142857142857143,8.0,35.0,0.22857142857142856,-0.32857142857142857,0.0,-0.27142857142857146,0.0,0.3534375,1,2023-07-01,0.0,0.0,2015,0.0
Tennessee,2015-02-01,1453646.0,2015,1595715.0833333333,91.09683897725894,1514870,95.95846508281238,2015,26.0,99.0,0.26262626262626265,5.0,33.0,0.15151515151515152,-0.23737373737373735,0.0,-0.3484848484848485,0.0,0.3655625,0,,0.0,0.0,2015,0.0
Texas,2015-02-01,4706456.0,2015,6427737.5,73.22103617330359,6299251,74.71453352152501,2015,50.0,150.0,0.3333333333333333,11.0,31.0,0.3548387096774194,-0.16666666666666669,0.0,-0.14516129032258063,0.0,0.42543749999999997,0,,0.0,0.0,2015,0.0
Utah,2015-02-01,305121.0,2015,514048.0,59.35651923555777,456764,66.80057973045162,2015,12.0,75.0,0.16,5.0,29.0,0.1724137931034483,-0.33999999999999997,0.0,-0.3275862068965517,0.0,0.26306250000000003,1,2020-01-01,0.0,0.0,2015,0.0
Vermont,2015-02-01,182109.0,2015,103963.91666666667,175.16558228936802,96287,189.13145076697788,2015,85.0,150.0,0.5666666666666667,21.0,30.0,0.7,0.06666666666666665,1.0,0.19999999999999996,1.0,0.6078125000000001,1,2014-01-01,1.0,0.0,2015,0.0
Virginia,2015-02-01,968708.0,2015,1358682.3333333333,71.29760770668248,1298806,74.58450299736835,2015,32.0,100.0,0.32,19.0,40.0,0.475,-0.18,0.0,-0.025000000000000022,1.0,0.502875,1,2019-01-01,0.0,0.0,2015,0.0
Washington,2015-02-01,1689353.0,2015,1271805.8333333333,132.83104666789416,1136840,148.6007705569825,2015,51.0,98.0,0.5204081632653061,24.0,49.0,0.4897959183673469,0.020408163265306145,1.0,-0.010204081632653073,1.0,0.5530625,1,2014-01-01,1.0,0.0,2015,0.0
West Virginia,2015-02-01,526778.0,2015,469604.0833333333,112.17491897873546,462592,113.87529399557278,2015,36.0,100.0,0.36,16.0,34.0,0.47058823529411764,-0.14,0.0,-0.02941176470588236,1.0,0.3046875,1,2014-01-01,1.0,0.0,2015,0.0
Wisconsin,2015-02-01,1053400.0,2015,1019184.5,103.3571448545381,951649,110.69207239223707,2015,36.0,99.0,0.36363636363636365,14.0,33.0,0.42424242424242425,-0.13636363636363635,0.0,-0.07575757575757575,0.0,0.4935625,0,,0.0,0.0,2015,0.0
Wyoming,2015-02-01,68285.0,2015,97437.08333333333,70.08112072320174,93266,73.21531962344264,2015,9.0,60.0,0.15,4.0,30.0,0.13333333333333333,-0.35,0.0,-0.3666666666666667,0.0,0.246375,0,,0.0,0.0,2015,0.0
Alabama,2015-03-01,863391.0,2015,1243952.5,69.40707141148879,1174119,73.53522087624849,2015,33.0,105.0,0.3142857142857143,8.0,35.0,0.22857142857142856,-0.18571428571428572,0.0,-0.27142857142857146,0.0,0.3586666666666667,0,,0.0,0.0,2015,0.0
Alaska,2015-03-01,126603.0,2015,115843.0,109.28843348324888,114607,110.46707443698902,2015,16.0,40.0,0.4,6.0,20.0,0.3,-0.09999999999999998,0.0,-0.2,0.0,0.39258333333333334,1,2015-09-01,0.0,0.0,2015,0.0
Arizona,2015-03-01,1516700.0,2015,1669982.8333333333,90.82129287356946,1492698,101.60796088693091,2015,24.0,60.0,0.4,13.0,30.0,0.43333333333333335,-0.09999999999999998,0.0,-0.06666666666666665,0.0,0.4489166666666667,1,2014-01-01,1.0,0.0,2015,0.0
